,Open,Close,Time,High,Low
239,1139.58,1140.3,2015-02-27T09:28:00+0530,1140.3,1139.58
240,1136.03,1136.25,2015-02-28T09:28:00+0530,1137.38,1136.03
241,1148.2,1150.15,2015-03-02T09:28:00+0530,1150.25,1148.08
242,1142.35,1141.8,2015-03-03T09:28:00+0530,1142.35,1141.73
243,1156.03,1154.4,2015-03-04T09:28:00+0530,1156.03,1152.93
244,1134.85,1134.63,2015-03-05T09:28:00+0530,1135.25,1134.08
245,1111.15,1110,2015-03-09T09:28:00+0530,1111.2,1110
246,1097.5,1100,2015-03-10T09:28:00+0530,1100,1097.5
247,1108.25,1108.38,2015-03-11T09:28:00+0530,1108.73,1108.05
248,1094,1093.75,2015-03-12T09:28:00+0530,1094.5,1093.4
249,1107.23,1107.23,2015-03-13T09:28:00+0530,1107.23,1107.23
250,1131.5,1131.23,2015-03-17T09:28:00+0530,1131.5,1131.18
251,1126,1125.5,2015-03-18T09:28:00+0530,1126.43,1124.4
252,1114.68,1114.63,2015-03-19T09:28:00+0530,1114.95,1114.35
253,1118.08,1117.58,2015-03-20T09:28:00+0530,1118.35,1117.48
254,1134.98,1136.05,2015-03-23T09:28:00+0530,1136.05,1134.38
255,1113.8,1113.3,2015-03-24T09:28:00+0530,1113.88,1113.3
256,1113,1112.98,2015-03-25T09:28:00+0530,1113.2,1112.68
257,1096.63,1097.25,2015-03-26T09:28:00+0530,1097.45,1096.63
258,1094.48,1093.78,2015-03-27T09:28:00+0530,1095.03,1093.6
259,1099.5,1099.85,2015-03-30T09:28:00+0530,1100.93,1099.05
260,1094.05,1094.95,2015-04-01T09:28:00+0530,1094.95,1094.05
261,1080.98,1084,2015-04-06T09:28:00+0530,1084.5,1080.98
262,1089.18,1089,2015-04-07T09:28:00+0530,1089.2,1088.95
263,1089.43,1089.75,2015-04-08T09:28:00+0530,1090,1089.43
264,1104.13,1104.38,2015-04-09T09:28:00+0530,1104.6,1104.08
265,1111.85,1112.2,2015-04-10T09:28:00+0530,1112.5,1111.13
266,1112.38,1111.43,2015-04-13T09:28:00+0530,1112.5,1110.88
267,1114.48,1114.03,2015-04-15T09:28:00+0530,1115,1114.03
268,1110.48,1109.83,2015-04-16T09:28:00+0530,1111.48,1109.83
269,1091.5,1092.75,2015-04-17T09:28:00+0530,1093.5,1091.5
270,1080.6,1080,2015-04-20T09:28:00+0530,1080.6,1080
271,1068.85,1068.5,2015-04-21T09:28:00+0530,1068.85,1067.63
272,1071.58,1070.98,2015-04-22T09:28:00+0530,1071.73,1070.5
273,1066.65,1066.5,2015-04-23T09:28:00+0530,1066.7,1066.45
274,1060.5,1062.73,2015-04-24T09:28:00+0530,1062.73,1059.38
275,985.48,988.2,2015-04-27T09:28:00+0530,988.25,985.2
276,987.83,987.48,2015-04-28T09:28:00+0530,988.3,987.3
277,976.5,975.5,2015-04-29T09:28:00+0530,976.5,975.5
278,970.25,970.2,2015-04-30T09:28:00+0530,970.43,970
279,981,981.5,2015-05-04T09:28:00+0530,981.9,980.98
280,992.63,992,2015-05-05T09:28:00+0530,993.48,991.65
281,984.85,984,2015-05-06T09:28:00+0530,985,983.65
282,957.5,958.33,2015-05-07T09:28:00+0530,958.33,957.18
283,978.8,977.6,2015-05-08T09:28:00+0530,979.2,977.5
284,978.6,977.65,2015-05-11T09:28:00+0530,979.1,976.15
285,987.53,987.88,2015-05-12T09:28:00+0530,988.45,987.5
286,980.45,980.48,2015-05-13T09:28:00+0530,980.83,980.05
287,962.78,964.28,2015-05-14T09:28:00+0530,964.5,962.78
288,975.23,974,2015-05-15T09:28:00+0530,975.5,973.5
289,986.98,987,2015-05-18T09:28:00+0530,987.25,986.4
290,1005.9,1005.25,2015-05-19T09:28:00+0530,1006.45,1005
291,1020.18,1019.55,2015-05-20T09:28:00+0530,1020.4,1019.55
292,1027.65,1026.83,2015-05-21T09:28:00+0530,1028.23,1026.75
293,1021.55,1022.8,2015-05-22T09:28:00+0530,1022.8,1021.53
294,1026.88,1026.75,2015-05-25T09:28:00+0530,1027,1026.25
295,1012.53,1012.7,2015-05-26T09:28:00+0530,1013.03,1012.5
296,991.23,990.55,2015-05-27T09:28:00+0530,991.23,990.45
297,993.45,994.23,2015-05-28T09:28:00+0530,994.5,993.28
298,1007.5,1006.7,2015-05-29T09:28:00+0530,1007.5,1006.08
299,1024.53,1024,2015-06-01T09:28:00+0530,1024.93,1023.05
300,1020.5,1012.73,2015-06-02T09:28:00+0530,1020.9,1009.93
301,1016.28,1016.58,2015-06-03T09:28:00+0530,1016.9,1016.28
302,1021.83,1022.5,2015-06-04T09:28:00+0530,1022.95,1021.48
303,1008.98,1008.55,2015-06-05T09:28:00+0530,1009.38,1008.48
304,1004.28,1004.13,2015-06-08T09:28:00+0530,1006.23,1003.05
305,995.35,995.45,2015-06-09T09:28:00+0530,996,994.5
306,1000.48,1002.4,2015-06-10T09:28:00+0530,1002.5,1000.03
307,1020.45,1020,2015-06-11T09:28:00+0530,1020.5,1019
308,2015.2,2016.45,2015-06-12T09:28:00+0530,2016.45,2015.1
309,975.2,974.6,2015-06-15T09:28:00+0530,975.2,973.15
310,990.5,989.5,2015-06-16T09:28:00+0530,990.5,989.15
311,1012.85,1012.25,2015-06-17T09:28:00+0530,1013.25,1011.1
312,1003.2,1004.5,2015-06-18T09:28:00+0530,1004.5,1003.2
313,1004.7,1004.9,2015-06-19T09:28:00+0530,1005.3,1004.55
314,999.25,1000.5,2015-06-22T09:28:00+0530,1000.65,999.05
315,1008.3,1008.05,2015-06-23T09:28:00+0530,1008.4,1008
316,1008.1,1008.1,2015-06-24T09:28:00+0530,1008.25,1008
317,998.4,998.5,2015-06-25T09:28:00+0530,998.9,997.65
318,1002.85,1004.5,2015-06-26T09:28:00+0530,1005,1002.8
319,994.65,994.5,2015-06-29T09:28:00+0530,995,994.35
320,989,988.85,2015-06-30T09:28:00+0530,989.45,988.8
321,988,987.95,2015-07-01T09:28:00+0530,988,987.3
322,988.95,988.7,2015-07-02T09:28:00+0530,989,988.1
323,988,988,2015-07-03T09:28:00+0530,988.45,987.9
324,982,981.95,2015-07-06T09:28:00+0530,982.15,981
325,987,986.05,2015-07-07T09:28:00+0530,987.25,986.05
326,972.25,970.7,2015-07-08T09:28:00+0530,972.35,970.5
327,955.2,953.75,2015-07-09T09:28:00+0530,955.2,953.35
328,945.55,945.25,2015-07-10T09:28:00+0530,945.55,945.25
329,943.5,943.2,2015-07-13T09:28:00+0530,943.5,943
330,949.8,950.25,2015-07-14T09:28:00+0530,950.85,949.8
331,973.85,973.7,2015-07-15T09:28:00+0530,973.9,973.5
332,989,989.3,2015-07-16T09:28:00+0530,989.4,988.6
333,995,995.3,2015-07-17T09:28:00+0530,995.3,994.5
334,991.5,991.6,2015-07-20T09:28:00+0530,992.35,991.15
335,1069.05,1072,2015-07-21T09:28:00+0530,1072.45,1067.8
336,1085.2,1087.75,2015-07-22T09:28:00+0530,1088.9,1085.2
337,1096.85,1099.35,2015-07-23T09:28:00+0530,1099.35,1096.8
338,1102.95,1101.7,2015-07-24T09:28:00+0530,1103.5,1101.5
339,1082.95,1082.5,2015-07-27T09:28:00+0530,1082.95,1082
340,1072.35,1071.55,2015-07-28T09:28:00+0530,1072.35,1071
341,1066,1065.45,2015-07-29T09:28:00+0530,1066.2,1065.35
342,1087.1,1087,2015-07-30T09:28:00+0530,1087.35,1087
343,1075.25,1075.7,2015-08-03T09:28:00+0530,1075.7,1074.95
344,1069.15,1067.9,2015-08-04T09:28:00+0530,1069.15,1067.5
345,1074.15,1073.25,2015-08-05T09:28:00+0530,1074.7,1073.15
346,1100.1,1099.4,2015-08-06T09:28:00+0530,1100.5,1099.1
347,1091.5,1090.7,2015-08-07T09:28:00+0530,1091.5,1090.3
348,1102,1103,2015-08-10T09:28:00+0530,1103,1101.9
349,1102.75,1101.85,2015-08-11T09:28:00+0530,1103,1101.1
350,1123.6,1124.1,2015-08-12T09:28:00+0530,1124.4,1121.7
351,1145.5,1145.3,2015-08-13T09:28:00+0530,1146.45,1144.75
352,1166.9,1166,2015-08-14T09:28:00+0530,1167.35,1165.9
353,1135,1134.25,2015-08-17T09:28:00+0530,1135,1134
354,1160,1160,2015-08-18T09:28:00+0530,1160.05,1159.5
355,1171.15,1170.1,2015-08-19T09:28:00+0530,1171.9,1170
356,1162.25,1163.25,2015-08-20T09:28:00+0530,1163.25,1161.85
357,1151.7,1144.15,2015-08-21T09:28:00+0530,1151.7,1144
358,1111.3,1112,2015-08-24T09:28:00+0530,1112,1108
359,1097.7,1099.05,2015-08-25T09:28:00+0530,1100.55,1097
360,1070.25,1071.1,2015-08-26T09:28:00+0530,1072.5,1070
361,1080.5,1081.45,2015-08-27T09:28:00+0530,1083,1080.5
362,1108.35,1108.85,2015-08-28T09:28:00+0530,1109.7,1107.3
363,1105.35,1106.5,2015-09-01T09:28:00+0530,1106.7,1104.8
364,1097.05,1096.45,2015-09-02T09:28:00+0530,1097.6,1095.5
365,1102.25,1103,2015-09-03T09:28:00+0530,1103,1102
366,1097.8,1097.05,2015-09-04T09:28:00+0530,1099.35,1096
367,1076.45,1074.35,2015-09-07T09:28:00+0530,1076.7,1074
368,1058.25,1058,2015-09-08T09:28:00+0530,1059.7,1056.95
369,1094.75,1094.15,2015-09-09T09:28:00+0530,1095.25,1094
370,1089.7,1088.5,2015-09-10T09:28:00+0530,1089.7,1087.65
371,1090,1091.65,2015-09-11T09:28:00+0530,1091.65,1090
372,1088.1,1087.95,2015-09-14T09:28:00+0530,1088.1,1086.5
373,1096.1,1098.25,2015-09-15T09:28:00+0530,1098.5,1096.1
374,1104.8,1104.95,2015-09-16T09:28:00+0530,1105,1104.5
375,1113.8,1113.55,2015-09-18T09:28:00+0530,1113.85,1112.7
376,1106.7,1106.1,2015-09-21T09:28:00+0530,1107.35,1106
377,1123.85,1124.4,2015-09-22T09:28:00+0530,1124.6,1123.4
378,1111.65,1112,2015-09-23T09:28:00+0530,1112.9,1111.05
379,1121.5,1120.1,2015-09-24T09:28:00+0530,1121.5,1120.1
380,1136.85,1135.8,2015-09-28T09:28:00+0530,1137,1135.15
381,1125.55,1124.5,2015-09-29T09:28:00+0530,1126.5,1124.5
382,1133.55,1132.25,2015-09-30T09:28:00+0530,1133.55,1131.55
383,1186.15,1186.6,2015-10-01T09:28:00+0530,1187,1186
384,1184.6,1187.05,2015-10-05T09:28:00+0530,1187.45,1184.6
385,1182.4,1181.45,2015-10-06T09:28:00+0530,1183.15,1181.45
386,1161.95,1162.25,2015-10-07T09:28:00+0530,1162.25,1161.65
387,1146,1146.9,2015-10-08T09:28:00+0530,1146.9,1145.6
388,1148.85,1151,2015-10-09T09:28:00+0530,1151,1148.85
389,1138.95,1131.6,2015-10-12T09:28:00+0530,1140.2,1131.6
390,1101.1,1101.85,2015-10-13T09:28:00+0530,1103.5,1100.65
391,1100.95,1102.15,2015-10-14T09:28:00+0530,1102.5,1100.65
392,1093.5,1092.75,2015-10-15T09:28:26+0530,1093.5,1092.5
393,1092.4,1093.4,2015-10-16T09:28:00+0530,1093.7,1092.05
394,1103.1,1102,2015-10-19T09:28:00+0530,1103.5,1100.5
395,1117.9,1118.4,2015-10-20T09:28:00+0530,1118.8,1117.45
396,1132.65,1130,2015-10-21T09:28:00+0530,1132.65,1130
397,1138,1137,2015-10-23T09:28:00+0530,1138.3,1137
398,1153.95,1153.7,2015-10-26T09:28:00+0530,1154.95,1153.25
