,Time,Open,High,Low,Close,Volume
1939,2017-10-10,996.67,997.95,980.0989999999999,987.2,3084921
1940,2017-10-11,991.27,995.5,986.695,995,2337113
1941,2017-10-12,996.81,1008.44,992.4,1000.93,4067317
1942,2017-10-13,1007,1007.77,1001.03,1002.94,2431462
1943,2017-10-16,1008.44,1009.57,1001.04,1006.34,2008908
1944,2017-10-17,1005.59,1011.47,1004.38,1009.13,2319742
1945,2017-10-18,1009.27,1022.31,996.55,997,2499681
1946,2017-10-19,990,991.05,980.24,986.61,3108197
1947,2017-10-20,993.53,994.62,982,982.91,2365122
1948,2017-10-23,986.73,986.775,962.5,966.3,3494100
1949,2017-10-24,969,979.85,965,975.9,2723935
1950,2017-10-25,978,984.44,966.24,972.91,3033113
1951,2017-10-26,980.33,982.9,968.55,972.43,5618675
1952,2017-10-27,1058.14,1105.58,1050.55,1100.95,16565021
1953,2017-10-30,1095.01,1122.79,1093.56,1110.85,6613064
1954,2017-10-31,1109,1110.54,1101.12,1105.28,3476967
1955,2017-11-01,1105.4,1108.97,1096.74,1103.68,3755511
1956,2017-11-02,1097.81,1101.94,1086.87,1094.22,3684876
1957,2017-11-03,1091.15,1112.68,1088.52,1111.6,3751480
1958,2017-11-06,1109.15,1125.41,1108.77,1120.66,3381138
1959,2017-11-07,1124.74,1130.6,1117.5,1123.17,2688977
1960,2017-11-08,1122.82,1135.54,1119.11,1132.88,2534748
1961,2017-11-09,1125.96,1129.62,1115.77,1129.13,3725774
